Month_End,CPI,FEDFUNDS,Industrial_Production,GDP,Unemployment_Rate,Consumer_Sentiment,Credit_Spread,Regime_Label,Regime_Prob_0,Regime_Prob_1,Regime_Prob_2,Regime_Prob_3,Regime_Prob_4,Regime_Prob_5,Regime_Prob_6,Regime_Prob_7,Regime_Prob_8,Regime_Prob_9,Regime_Label_Smoothed,Regime_Name
1996-12-31,159.1,5.29,77.3772,1.86627256498311,5.4,96.9,3.13,3,5.221304933785896e-29,5.5602477947e-314,2.8326404207644326e-59,1.0,0.0,1.4090120369939187e-195,0.0,0.0,0.0,7.310310344520112e-52,3.0,Early Recovery
1997-01-31,159.4,5.25,77.5135,1.95264311049976,5.3,97.4,3.03695652173913,3,1.999374904059543e-29,1.462489556909074e-306,1.9075995161346927e-59,1.0,0.0,2.872078187258892e-194,0.0,0.0,0.0,2.403328035221676e-49,3.0,Early Recovery
1997-02-28,159.7,5.19,78.4255,2.0608764944371,5.2,99.7,2.956,3,1.7001790679820336e-29,4.480301137352875e-293,2.2853629472568204e-60,1.0,0.0,3.978137802451099e-189,0.0,0.0,0.0,1.2517718652785464e-44,3.0,Early Recovery
1997-03-31,159.8,5.39,78.9197,2.1904152460859,5.2,100.0,2.696190476190476,3,2.223333639604115e-30,3.396840551366619e-296,1.2488210027928681e-61,1.0,0.0,3.0471138087641156e-192,0.0,0.0,0.0,1.4139718365485205e-43,3.0,Early Recovery
1997-04-30,159.9,5.51,78.9848,2.33758201596323,5.1,101.4,2.893181818181818,3,1.664941313789431e-32,4.3471670643459964e-297,2.548741867090022e-64,1.0,0.0,1.5923287717850092e-196,0.0,0.0,0.0,3.155141040136037e-42,3.0,Early Recovery
1997-05-31,159.9,5.5,79.4296,2.49629264691983,4.9,103.2,2.721739130434783,3,5.288768136010318e-34,6.406898778419391e-289,2.330220035650935e-66,1.0,0.0,2.1497063195640614e-196,0.0,0.0,0.0,1.299325911233669e-38,3.0,Early Recovery
1997-06-30,160.2,5.56,79.7971,2.66221789104736,5.0,104.5,2.617142857142857,3,6.29669125902577e-35,1.1907729544001758e-278,1.6177970579169945e-66,1.0,0.0,4.1702680639751044e-195,0.0,0.0,0.0,2.9081877067076506e-36,3.0,Early Recovery
1997-07-31,160.4,5.52,80.4666,2.834989218141609,4.9,107.1,2.7247826086956524,3,4.703504924815778e-36,1.3881400485111892e-264,4.747047186951366e-68,1.0,0.0,4.705348086470128e-192,0.0,0.0,0.0,2.3832062144227754e-32,3.0,Early Recovery
1997-08-31,160.8,5.54,81.2825,3.01459709149686,4.8,104.4,2.5436363636363635,3,1.3319020745343138e-34,7.149415370403864e-254,4.851014999238435e-64,1.0,0.0,5.796646233494157e-188,0.0,0.0,0.0,9.472070037458598e-29,3.0,Early Recovery
1997-09-30,161.2,5.54,82.0327,3.19724732702158,4.9,106.0,2.5945454545454543,3,1.0007356108998096e-34,3.1188124477339174e-238,2.91106550767593e-63,1.0,0.0,5.737764425840872e-183,0.0,0.0,0.0,8.536382054289348e-26,3.0,Early Recovery
1997-10-31,161.5,5.5,82.7656,3.37065391360613,4.7,105.6,2.605652173913044,3,1.504844728093637e-34,1.2638783504736233e-227,6.088728158255146e-62,1.0,0.0,9.892197433048382e-180,0.0,0.0,0.0,1.5901822063966955e-22,3.0,Early Recovery
1997-11-30,161.7,5.52,83.427,3.51750245921205,4.6,107.2,2.8595238095238096,3,2.172707179304769e-35,3.3529589420636654e-220,4.331445982731374e-63,1.0,0.0,2.1111681474692956e-178,0.0,0.0,0.0,2.288728300508043e-20,3.0,Early Recovery
1997-12-31,161.8,5.5,83.784,3.61950925126506,4.7,102.1,2.890434782608696,3,1.7046787504183844e-32,1.2597455239277057e-213,2.4554459528370004e-55,1.0,0.0,1.95543866553414e-173,0.0,0.0,0.0,2.8403722453863385e-19,3.0,Early Recovery
1998-01-31,162.0,5.56,84.1564,3.663242424141631,4.6,106.6,3.0204347826086955,3,7.528826238256267e-35,7.01882478309063e-213,3.85119228340754e-61,1.0,0.0,1.4185661355457905e-175,0.0,0.0,0.0,1.6798655475459003e-18,3.0,Early Recovery
1998-02-28,162.0,5.51,84.3066,3.6396086969549697,4.6,110.4,2.9233333333333333,3,6.355003142021515e-36,9.871186945747446e-209,6.653241035560588e-65,1.0,0.0,1.3710815104612792e-174,0.0,0.0,0.0,2.4736657518062206e-18,3.0,Early Recovery
1998-03-31,162.0,5.49,84.342,3.54902389803892,4.7,106.5,2.833636363636364,3,3.752928013429699e-33,3.3113120281522733e-211,4.619248125801109e-60,1.0,0.0,7.445190767708254e-172,0.0,0.0,0.0,9.867813859996658e-19,3.0,Early Recovery
1998-04-30,162.2,5.45,84.6339,3.40799428201532,4.3,108.7,2.846363636363636,3,8.66421427298928e-34,4.23529943860515e-221,3.272521632783091e-65,1.0,0.0,1.1194343984335545e-174,0.0,0.0,0.0,2.8876032996450277e-18,3.0,Early Recovery
1998-05-31,162.6,5.49,85.1867,3.23745089450095,4.4,106.5,3.001818181818182,3,9.896252184298791e-31,6.106631084975249e-229,1.409372266555253e-62,1.0,0.0,7.31413452458886e-172,0.0,0.0,0.0,7.95279453788545e-19,3.0,Early Recovery
1998-06-30,162.8,5.56,84.6809,3.05408135758864,4.5,105.6,3.242272727272727,3,4.681174156526002e-30,2.93068117678219e-243,6.552828861704668e-63,1.0,0.0,1.0088693573961156e-174,0.0,0.0,0.0,1.3606476096622977e-21,3.0,Early Recovery
1998-07-31,163.2,5.54,84.3445,2.86384711838923,4.5,105.2,3.3360869565217395,3,4.700945129701565e-29,7.618682566234699e-254,3.118272200537048e-63,1.0,0.0,3.8493874572625175e-175,0.0,0.0,0.0,9.815808360953901e-24,3.0,Early Recovery
1998-08-31,163.4,5.55,86.0816,2.66951164917636,4.5,104.4,3.9580952380952383,3,5.312068957009432e-25,3.344314840709968e-263,4.560587946959718e-61,1.0,0.0,3.8013986108350783e-168,0.0,0.0,0.0,3.967044188426539e-23,3.0,Early Recovery
1998-09-30,163.5,5.51,86.0023,2.47854584797106,4.6,100.9,5.6054545454545455,3,2.983613913046125e-22,1.0430483406302452e-271,4.408152486679333e-57,1.0,0.0,4.301223684257488e-166,0.0,0.0,0.0,3.136877134649138e-25,3.0,Early Recovery
1998-10-31,163.9,5.07,86.591,2.31165960767427,4.5,97.4,6.432173913043478,3,6.938643285785468e-18,8.776498323377308e-252,6.622757039266562e-50,1.0,0.0,4.024041180169317e-152,0.0,0.0,0.0,1.7628570291089347e-22,3.0,Early Recovery
1998-11-30,164.1,4.83,86.5115,2.19240001295308,4.4,102.7,5.703809523809523,3,1.6294323262744365e-18,3.2560847905122035e-243,8.625300354844737e-54,1.0,0.0,2.809181839052063e-146,0.0,0.0,0.0,1.927732903857538e-22,3.0,Early Recovery
1998-12-31,164.4,4.68,86.8615,2.13584412985888,4.4,100.5,5.538260869565217,3,1.8928409843342839e-16,3.0597952389399415e-235,5.395271052396612e-50,0.9999999999999998,0.0,1.6166916050747074e-140,0.0,0.0,0.0,3.402535090933471e-21,3.0,Early Recovery
1999-01-31,164.7,4.63,87.2205,2.13367370056797,4.3,103.9,5.553636363636364,3,5.598832295089212e-17,7.821484974080864e-233,8.505631499310064e-53,1.0,0.0,1.5927267640833076e-138,0.0,0.0,0.0,1.364597131174311e-20,3.0,Early Recovery
1999-02-28,164.7,4.76,87.726,2.169507266460029,4.4,108.1,5.31047619047619,3,4.402667078107859e-18,8.035635925238188e-236,1.242211265640947e-56,1.0,0.0,3.0115482433528425e-139,0.0,0.0,0.0,5.091705169183946e-21,3.0,Early Recovery
1999-03-31,164.8,4.81,87.9125,2.23031054042464,4.2,105.7,5.235652173913044,3,5.080259491314139e-18,6.10650103120324e-241,1.0900717070775708e-55,1.0,0.0,9.398707708326267e-142,0.0,0.0,0.0,7.261315594883402e-20,3.0,Early Recovery
1999-04-30,165.9,4.74,88.1082,2.31467250782946,4.3,104.6,5.035454545454545,3,5.021269925702784e-17,7.76300624500193e-225,1.214493380683375e-52,1.0,0.0,6.247072609495813e-137,0.0,0.0,0.0,7.12950301854946e-18,3.0,Early Recovery
1999-05-31,166.0,4.74,88.6483,2.4283595601863,4.2,106.8,4.701904761904761,3,9.999287999742434e-18,2.1073038928395645e-218,2.0473266709429066e-54,1.0,0.0,5.336734168253749e-136,0.0,0.0,0.0,3.2014457189559176e-16,3.0,Early Recovery
1999-06-30,166.0,4.76,88.5903,2.5783819066313094,4.3,107.3,4.672272727272728,3,1.753524173781954e-18,5.023634109784197e-207,3.451242290668622e-54,0.9999999999999964,0.0,8.814697268623807e-136,0.0,0.0,0.0,3.694995910764145e-15,3.0,Early Recovery
1999-07-31,166.7,4.99,89.1098,2.76503906993034,4.3,106.0,4.797826086956522,3,3.8445678870699324e-19,7.477427815736949e-210,9.031617065353171e-54,0.9999999999999016,0.0,2.0899070088570956e-139,0.0,0.0,0.0,9.833452434256203e-14,3.0,Early Recovery
1999-08-31,167.1,5.07,89.5007,2.9837506084688,4.2,104.5,4.819090909090909,3,1.0461892039021203e-19,2.6325178491892956e-204,2.119773491816985e-52,0.9999999999874869,0.0,4.481821451964182e-141,0.0,0.0,0.0,1.251303330055193e-11,3.0,Early Recovery
1999-09-30,167.8,5.22,89.1304,3.2243023191814,4.2,107.2,5.042727272727273,3,1.0521360247744559e-22,1.812340977929118e-198,8.286243860055746e-56,0.999999999966728,0.0,1.76785308112193e-145,0.0,0.0,0.0,3.3272057503156186e-11,3.0,Early Recovery
1999-10-31,168.1,5.2,90.2709,3.46738918035314,4.1,103.2,5.001818181818182,3,3.348494075790938e-21,3.796585761639116e-187,7.500891409553453e-50,0.9999999657950985,0.0,3.1276952933703715e-142,0.0,0.0,0.0,3.4204901475330596e-08,3.0,Early Recovery
1999-11-30,168.4,5.42,90.7528,3.6921703371725902,4.1,107.2,5.08,3,4.7487264210186605e-24,9.978021579012884e-186,1.4276589748368064e-54,0.9999998972863704,0.0,3.8655076629098806e-146,0.0,0.0,0.0,1.0271362963435431e-07,3.0,Early Recovery
1999-12-31,168.8,5.3,91.4784,3.8832214373293104,4.0,105.4,4.773478260869566,3,4.8544974994084634e-23,2.2505465854265707e-171,2.388180086347931e-50,0.9999958317547945,0.0,3.1363561494005586e-141,0.0,0.0,0.0,4.1682452056131686e-06,3.0,Early Recovery
