Month_End,Consumer Price Index for All Urban Consumers All Items in U.S. City Average_CPIAUCSL,Federal Funds Effective Rate _FEDFUNDS,Industrial Production Total Index_INDPRO,Leading Indicators OECD Reference Series Gross Domestic Product (GDP) Original Series for the Euro Area (19 Countries)EA19LORSGPORGYSAM,Unemployment Rate_UNRATE,University of Michigan Consumer Sentiment_UMCSENT,BAMLH0A0HYM2
1996-12-31,159.1,5.29,77.3772,1.86627256498311,5.4,96.9,3.13
1997-01-31,159.4,5.25,77.5135,1.95264311049976,5.3,97.4,3.03695652173913
1997-02-28,159.7,5.19,78.4255,2.0608764944371,5.2,99.7,2.956
1997-03-31,159.8,5.39,78.9197,2.1904152460859,5.2,100.0,2.696190476190476
1997-04-30,159.9,5.51,78.9848,2.33758201596323,5.1,101.4,2.893181818181818
1997-05-31,159.9,5.5,79.4296,2.49629264691983,4.9,103.2,2.721739130434783
1997-06-30,160.2,5.56,79.7971,2.66221789104736,5.0,104.5,2.617142857142857
1997-07-31,160.4,5.52,80.4666,2.834989218141609,4.9,107.1,2.7247826086956524
1997-08-31,160.8,5.54,81.2825,3.01459709149686,4.8,104.4,2.5436363636363635
1997-09-30,161.2,5.54,82.0327,3.19724732702158,4.9,106.0,2.5945454545454543
1997-10-31,161.5,5.5,82.7656,3.37065391360613,4.7,105.6,2.605652173913044
1997-11-30,161.7,5.52,83.427,3.51750245921205,4.6,107.2,2.8595238095238096
1997-12-31,161.8,5.5,83.784,3.61950925126506,4.7,102.1,2.890434782608696
1998-01-31,162.0,5.56,84.1564,3.663242424141631,4.6,106.6,3.0204347826086955
1998-02-28,162.0,5.51,84.3066,3.6396086969549697,4.6,110.4,2.9233333333333333
1998-03-31,162.0,5.49,84.342,3.54902389803892,4.7,106.5,2.833636363636364
1998-04-30,162.2,5.45,84.6339,3.40799428201532,4.3,108.7,2.846363636363636
1998-05-31,162.6,5.49,85.1867,3.23745089450095,4.4,106.5,3.001818181818182
1998-06-30,162.8,5.56,84.6809,3.05408135758864,4.5,105.6,3.242272727272727
1998-07-31,163.2,5.54,84.3445,2.86384711838923,4.5,105.2,3.3360869565217395
1998-08-31,163.4,5.55,86.0816,2.66951164917636,4.5,104.4,3.9580952380952383
1998-09-30,163.5,5.51,86.0023,2.47854584797106,4.6,100.9,5.6054545454545455
1998-10-31,163.9,5.07,86.591,2.31165960767427,4.5,97.4,6.432173913043478
1998-11-30,164.1,4.83,86.5115,2.19240001295308,4.4,102.7,5.703809523809523
1998-12-31,164.4,4.68,86.8615,2.13584412985888,4.4,100.5,5.538260869565217
1999-01-31,164.7,4.63,87.2205,2.13367370056797,4.3,103.9,5.553636363636364
1999-02-28,164.7,4.76,87.726,2.169507266460029,4.4,108.1,5.31047619047619
1999-03-31,164.8,4.81,87.9125,2.23031054042464,4.2,105.7,5.235652173913044
1999-04-30,165.9,4.74,88.1082,2.31467250782946,4.3,104.6,5.035454545454545
1999-05-31,166.0,4.74,88.6483,2.4283595601863,4.2,106.8,4.701904761904761
1999-06-30,166.0,4.76,88.5903,2.5783819066313094,4.3,107.3,4.672272727272728
1999-07-31,166.7,4.99,89.1098,2.76503906993034,4.3,106.0,4.797826086956522
1999-08-31,167.1,5.07,89.5007,2.9837506084688,4.2,104.5,4.819090909090909
1999-09-30,167.8,5.22,89.1304,3.2243023191814,4.2,107.2,5.042727272727273
1999-10-31,168.1,5.2,90.2709,3.46738918035314,4.1,103.2,5.001818181818182
1999-11-30,168.4,5.42,90.7528,3.6921703371725902,4.1,107.2,5.08
1999-12-31,168.8,5.3,91.4784,3.8832214373293104,4.0,105.4,4.773478260869566
2000-01-31,169.3,5.45,91.4092,4.03937100693859,4.0,112.0,4.784285714285714
2000-02-29,170.0,5.73,91.7245,4.16297970613698,4.1,111.3,4.902380952380953
2000-03-31,171.0,5.85,92.083,4.25526154684741,4.0,107.1,5.368695652173913
2000-04-30,170.9,6.02,92.6659,4.30882793054142,3.8,109.2,5.846666666666667
2000-05-31,171.2,6.27,92.9347,4.313402370171088,4.0,110.7,5.897826086956522
2000-06-30,172.2,6.53,93.0018,4.263226663359752,4.0,106.4,6.135909090909092
2000-07-31,172.7,6.54,92.8373,4.16779496773696,4.0,108.3,6.123333333333333
2000-08-31,172.7,6.5,92.591,4.04231416299496,4.1,107.3,6.361304347826087
2000-09-30,173.6,6.52,92.9827,3.9013472791196895,3.9,106.8,6.453636363636363
2000-10-31,173.9,6.51,92.64,3.75460276119967,3.9,105.8,7.292272727272728
2000-11-30,174.2,6.51,92.6604,3.6065436096409904,3.9,107.6,8.088181818181818
2000-12-31,174.6,6.4,92.3457,3.45638640460454,3.9,98.4,9.01590909090909
2001-01-31,175.6,5.98,91.8908,3.29806225227922,4.2,94.7,8.493478260869566
2001-02-28,176.0,5.49,91.2851,3.12344687320423,4.2,90.6,7.6075
2001-03-31,176.1,5.31,91.0585,2.92930018413188,4.3,91.5,7.915217391304348
2001-04-30,176.4,4.8,90.7384,2.72045602318432,4.4,88.4,8.5
2001-05-31,177.3,4.21,90.2607,2.50483675449179,4.3,92.0,7.688695652173913
2001-06-30,177.7,3.97,89.7811,2.28893726657304,4.5,92.6,8.056818181818182
2001-07-31,177.4,3.77,89.2352,2.073910088310789,4.6,92.4,8.26
2001-08-31,177.4,3.65,89.157,1.85843170274843,4.9,91.5,8.05304347826087
2001-09-30,178.1,3.07,88.6749,1.64155006797682,5.0,81.8,9.096666666666668
2001-10-31,177.6,2.49,88.4051,1.42559171005733,5.3,82.7,9.796521739130435
2001-11-30,177.5,2.09,87.886,1.21719805044304,5.5,83.9,8.79409090909091
2001-12-31,177.4,1.82,87.8518,1.02836315113504,5.7,88.8,8.294761904761904
2002-01-31,177.7,1.73,88.4634,0.877133795560125,5.7,93.0,8.157826086956522
2002-02-28,178.0,1.74,88.4578,0.782942824510886,5.7,90.7,8.103
2002-03-31,178.5,1.73,89.1265,0.755417681586229,5.7,95.7,7.318636363636363
2002-04-30,179.3,1.75,89.5507,0.786086303238392,5.9,93.0,7.159090909090909
2002-05-31,179.5,1.75,89.9348,0.857632968400275,5.8,96.9,7.026521739130434
2002-06-30,179.6,1.75,90.6736,0.950196920019905,5.8,92.4,7.975714285714286
2002-07-31,180.0,1.73,90.6436,1.04486645340358,5.8,88.1,9.360434782608696
2002-08-31,180.5,1.74,90.5505,1.12458228731642,5.7,87.6,9.78608695652174
2002-09-30,180.8,1.75,90.6373,1.17501034173203,5.7,86.1,9.84952380952381
2002-10-31,181.2,1.75,90.3988,1.18660964277925,5.7,80.6,10.677391304347829
2002-11-30,181.5,1.34,90.8947,1.15383827664809,5.9,84.2,9.648181818181818
2002-12-31,181.8,1.24,90.3906,1.07721215488497,6.0,86.7,8.965
