observation_date,CPIAUCSL
1977-12-01,62.300
1978-01-01,62.700
1978-02-01,63.000
1978-03-01,63.400
1978-04-01,63.900
1978-05-01,64.500
1978-06-01,65.000
1978-07-01,65.500
1978-08-01,65.900
1978-09-01,66.500
1978-10-01,67.100
1978-11-01,67.500
1978-12-01,67.900
1979-01-01,68.500
1979-02-01,69.200
1979-03-01,69.900
1979-04-01,70.600
1979-05-01,71.400
1979-06-01,72.200
1979-07-01,73.000
1979-08-01,73.700
1979-09-01,74.400
1979-10-01,75.200
1979-11-01,76.000
1979-12-01,76.900
1980-01-01,78.000
1980-02-01,79.000
1980-03-01,80.100
1980-04-01,80.900
1980-05-01,81.700
1980-06-01,82.500
1980-07-01,82.600
1980-08-01,83.200
1980-09-01,83.900
1980-10-01,84.700
1980-11-01,85.600
1980-12-01,86.400
1981-01-01,87.200
1981-02-01,88.000
1981-03-01,88.600
1981-04-01,89.100
1981-05-01,89.700
1981-06-01,90.500
1981-07-01,91.500
1981-08-01,92.200
1981-09-01,93.100
1981-10-01,93.400
1981-11-01,93.800
1981-12-01,94.100
1982-01-01,94.400
1982-02-01,94.700
1982-03-01,94.700
1982-04-01,95.000
1982-05-01,95.900
1982-06-01,97.000
1982-07-01,97.500
1982-08-01,97.700
1982-09-01,97.700
1982-10-01,98.100
1982-11-01,98.000
1982-12-01,97.700
1983-01-01,97.900
1983-02-01,98.000
1983-03-01,98.100
1983-04-01,98.800
1983-05-01,99.200
1983-06-01,99.400
1983-07-01,99.800
1983-08-01,100.100
1983-09-01,100.400
1983-10-01,100.800
1983-11-01,101.100
1983-12-01,101.400
1984-01-01,102.100
1984-02-01,102.600
1984-03-01,102.900
1984-04-01,103.300
1984-05-01,103.500
1984-06-01,103.700
1984-07-01,104.100
1984-08-01,104.400
1984-09-01,104.700
1984-10-01,105.100
1984-11-01,105.300
1984-12-01,105.500
1985-01-01,105.700
1985-02-01,106.300
1985-03-01,106.800
1985-04-01,107.000
1985-05-01,107.200
1985-06-01,107.500
1985-07-01,107.700
1985-08-01,107.900
1985-09-01,108.100
1985-10-01,108.500
1985-11-01,109.000
1985-12-01,109.500
1986-01-01,109.900
1986-02-01,109.700
1986-03-01,109.100
1986-04-01,108.700
1986-05-01,109.000
1986-06-01,109.400
1986-07-01,109.500
1986-08-01,109.600
1986-09-01,110.000
1986-10-01,110.200
1986-11-01,110.400
1986-12-01,110.800
1987-01-01,111.400
1987-02-01,111.800
1987-03-01,112.200
1987-04-01,112.700
1987-05-01,113.000
1987-06-01,113.500
1987-07-01,113.800
1987-08-01,114.300
1987-09-01,114.700
1987-10-01,115.000
1987-11-01,115.400
1987-12-01,115.600
1988-01-01,116.000
1988-02-01,116.200
1988-03-01,116.500
1988-04-01,117.200
1988-05-01,117.500
1988-06-01,118.000
1988-07-01,118.500
1988-08-01,119.000
1988-09-01,119.500
1988-10-01,119.900
1988-11-01,120.300
1988-12-01,120.700
1989-01-01,121.200
1989-02-01,121.600
